id_cpte,lag_pay1,lag_pay2,lag_pay3,lag_pay4,lag_pay5,lag_pay6,lag_pay7,lag_pay8,lag_pay9,lag_pay10,lag_pay11,lag_pay12,lag_pay13,delqcycle1,delqcycle2,delqcycle3,delqcycle4,delqcycle5,delqcycle6,delqcycle7,delqcycle8,delqcycle9,delqcycle10,delqcycle11,delqcycle12,delqcycle13,avg_balance,avg_cashbalance,creditlimit_max,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,default,date,num,avg_pay,total_reversal,total_exceed,no_obs
10179689,30,17,18,-3,11,5,7,7,17,9,2,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3952.5208,0,5200,13,11,12,8,12,13,9,14,12,12,11,14,12,0,19328,24,675.33832,0,0,1
10179949,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1196.5228,374.98215,2500,15,17,16,13,17,19,14,17,17,14,19,17,18,1,20789,1,0,0,225,0
10186138,30,30,-13,2,-4,10,14,-8,-16,11,9,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3392.9556,120.84286,5100,15,15,19,16,12,13,13,12,18,16,17,19,14,0,19328,25,902.88,0,0,1
10189914,30,30,-12,-6,-9,-7,-15,-7,-5,0,30,-15,-4,0,0,0,0,0,0,0,0,0,0,1,0,0,1198.9022,0,5300,22,22,23,23,22,19,25,20,20,19,21,26,21,0,20058,12,1120.9092,0,0,1
10193890,30,26,12,18,8,17,10,11,7,17,25,3,24,0,0,0,0,0,0,0,0,0,0,0,0,0,871.27209,57.284283,1400,3,2,3,-1,2,4,1,0,6,-1,2,5,2,0,20058,53,154.73848,0,0,1
10195847,30,30,30,30,30,30,30,30,30,30,30,30,30,1,0,1,0,0,1,0,0,1,0,1,0,0,780.0343,0,2300,27,25,24,24,24,24,26,24,26,22,24,27,23,0,19328,1,0,0,0,0
10205391,30,30,-22,-19,-28,30,30,-4,-9,-4,-7,-20,4,0,0,0,0,0,0,1,1,0,0,0,0,0,402.96359,83.376427,600,23,28,28,22,28,24,28,28,28,26,28,27,25,1,20423,66,139.47636,0,0,1
10215936,30,3,3,-4,-20,-17,-3,-1,-17,-21,-21,-7,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,25706.416,0,31100,23,25,24,24,21,26,27,27,23,21,25,24,23,0,19328,73,847.7196,0,0,1
10218825,30,30,-4,-9,-3,-12,3,-10,-6,-9,-7,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,2215.2878,130.16429,10200,10,12,11,12,11,14,10,10,12,11,14,11,15,0,20058,30,838.81165,0,0,1
10226838,30,30,-5,-1,-4,-4,-6,-4,-5,-4,-10,-7,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2065.6929,20.5,15100,22,20,22,20,20,25,22,21,26,23,27,26,21,0,20058,12,2134.3691,0,0,1
10234237,30,30,-8,-21,-6,-24,-16,-7,2,-7,30,-10,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,310.08786,0,5700,26,21,22,24,23,25,26,21,23,23,26,27,24,0,19693,45,237.49399,0,0,1
10237041,30,30,-3,-4,-10,-4,-5,-6,-3,-7,-12,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,271.96857,0,700,25,21,19,22,22,22,21,23,19,23,20,26,21,0,20789,15,305.974,0,0,0
10249046,30,30,-10,-7,-7,-18,-9,-6,-16,-4,30,-14,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,2315.4143,4.6057143,10200,21,19,19,20,21,22,18,19,18,19,19,22,19,0,20058,12,2309.4167,0,0,0
10251337,30,30,2,22,23,9,22,7,11,19,3,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,554.27789,0,1600,0,1,4,1,-1,1,3,2,5,1,-2,1,1,0,20058,24,559.22583,0,0,1
10269572,30,30,-4,5,-8,-1,-10,8,6,-11,13,-4,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,577.51501,132.45215,2300,14,12,13,9,12,14,14,15,13,13,12,15,15,0,20058,81,219.4852,0,0,1
10280562,30,30,-5,-3,-4,-7,-7,-5,-4,-3,-12,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,4290.4502,0,20100,10,7,10,10,6,8,11,6,10,6,12,12,9,0,19328,12,4334.8657,0,0,1
10291854,30,30,-13,-1,-17,-19,-9,-1,-10,1,-10,-24,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1589.8121,0,2100,23,21,24,22,25,24,26,28,23,24,28,28,23,0,19693,19,237.92262,0,0,1
10294646,30,30,-4,-11,30,7,-23,10,-8,-3,-10,30,30,0,0,0,0,1,0,0,1,0,0,1,1,2,14533.909,559.1886,15000,22,18,19,23,22,19,24,19,20,20,20,23,21,1,19693,16,1320.5,0,0,1
10303856,30,30,1,14,2,8,13,-12,-2,11,-7,8,-4,0,1,0,0,0,0,0,0,0,0,0,0,0,1222.0964,584.73285,3500,13,11,12,9,8,10,9,13,11,12,15,12,11,1,19693,61,142.16737,0,11,0
10304544,30,30,-8,1,-11,-2,-3,-12,-8,-3,-9,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,492.31,0,5100,26,29,28,23,29,24,24,29,28,26,25,27,25,0,20058,12,502.41666,0,0,1
10315934,30,30,5,30,30,-8,30,30,-7,2,-5,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,71.219284,.14428571,1200,22,21,25,23,21,26,25,21,23,23,24,26,21,0,19328,11,351.34818,0,4,0
10321384,30,26,19,20,18,16,2,4,25,1,1,30,26,0,0,0,0,0,0,0,0,0,0,0,0,0,405.07571,0,5100,3,3,6,0,0,2,4,3,3,3,2,1,2,0,19693,29,576.74103,0,0,1
10322251,30,30,10,17,12,13,4,30,-8,-2,-8,-8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1043.6086,0,2100,7,5,12,6,9,9,9,9,12,5,9,11,8,0,19693,15,326.76999,0,0,0
10323146,30,30,10,12,5,14,17,13,6,6,14,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,599.08643,0,4100,7,10,10,9,10,8,8,7,13,10,10,12,7,0,20789,12,451.25247,0,0,1
10348801,30,30,-11,-2,-10,-20,0,-8,-11,-6,-7,-2,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,1456.6943,0,5600,26,24,27,22,22,24,24,27,26,21,27,24,26,0,19328,13,67.314621,0,0,1
10351106,30,30,7,10,7,4,-14,-1,-16,-12,-18,-4,6,0,0,1,0,0,0,0,0,1,1,1,1,2,4260.0107,78.130722,5800,15,13,17,17,17,19,14,14,17,14,19,16,14,1,20423,31,188.4216,0,0,0
10355455,30,30,-23,-2,-1,-11,-13,-10,-12,5,2,-5,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,607.20215,0,8000,24,29,24,23,26,27,24,26,27,22,26,28,29,0,20423,17,996.28412,0,0,1
10356117,30,30,-22,3,-9,-11,-12,-9,-23,-22,-25,30,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1252.8907,0,2200,26,25,26,24,22,24,23,27,24,24,25,25,22,0,20058,20,295.98102,0,0,1
10358554,30,30,-5,12,-3,-5,-11,6,-15,14,7,-6,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,112.03357,0,5700,13,12,12,10,11,14,13,11,16,9,16,18,15,0,20789,30,291.60565,0,0,0
10370887,30,30,30,30,30,-2,-10,30,-3,6,30,-10,30,0,0,0,1,2,3,0,1,0,1,0,0,1,2182.635,193.02144,5000,17,15,22,18,16,21,16,20,18,16,18,21,19,1,19693,7,945.19568,0,0,1
10373514,30,30,30,-14,-20,30,3,30,30,-19,8,30,30,1,0,0,0,0,1,0,1,2,0,0,0,1,574.22717,0,500,21,22,22,17,21,19,18,21,18,20,19,24,20,1,19328,7,189.04286,0,0,1
10376426,30,30,-18,30,-7,-22,2,-16,4,-4,-19,-14,30,0,1,1,2,0,0,0,0,0,0,0,0,1,1051.7214,691.92499,1200,25,21,23,23,24,23,26,20,26,23,24,23,25,1,20423,23,171.21478,0,2,0
10382055,30,30,-13,4,7,-1,30,0,4,7,-9,8,-14,0,0,0,0,0,0,0,0,0,0,0,1,0,385.49072,36.962139,1700,17,17,17,17,14,19,16,15,18,18,21,21,15,1,20058,22,301.64227,0,1,0
10385394,30,30,6,14,-4,3,-6,-4,-4,7,-7,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,43.143574,0,3000,17,11,16,12,12,11,10,12,16,12,13,15,12,0,20058,53,58.734715,0,0,0
10389335,30,22,7,11,11,5,2,-2,-9,23,4,8,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4649.1558,62.128571,5200,7,7,9,6,4,8,7,5,9,6,8,4,8,0,20058,24,194.60374,0,0,1
10392815,30,30,6,0,1,-5,8,-10,5,8,8,-2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,6143.6025,0,6100,8,7,9,9,6,9,11,10,9,7,12,9,7,0,20058,35,145.50229,0,0,1
10426874,30,30,4,30,4,30,6,-11,-17,-17,-20,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,948.03925,0,1700,20,19,21,20,21,21,21,22,21,20,23,22,23,0,20058,15,929.89264,0,0,1
10431787,30,30,22,20,18,21,11,15,22,15,15,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2127.5964,0,5600,3,1,5,-2,1,-1,3,-2,1,2,-2,0,1,0,19328,13,2044.5747,0,0,0
10442660,30,30,14,-4,22,7,16,15,30,-4,4,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1284.8136,83.428574,15900,9,8,9,9,6,5,7,8,8,5,9,9,5,0,20789,16,877.6225,0,0,1
10456523,30,30,17,14,20,16,16,2,17,10,24,12,21,0,0,0,0,0,0,0,0,0,0,0,0,0,399.45999,0,12200,-1,-2,5,-2,2,-1,2,-1,5,1,-2,3,-2,0,19328,13,369.65384,0,0,1
10470379,30,30,23,18,30,6,12,11,4,30,16,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,367.6907,0,7100,3,-2,4,-2,2,2,0,-1,4,1,-1,1,1,0,20789,11,547.99091,0,0,1
10483801,30,30,10,14,12,14,9,7,18,9,12,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,509.92926,0,10100,14,15,13,10,12,14,14,15,12,10,12,15,15,0,20423,12,478.24414,0,0,1
10490463,30,30,-5,-12,-8,-1,2,-5,-3,1,-6,-4,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,6805.96,0,10300,26,26,24,25,29,24,24,29,27,23,29,27,29,0,20789,25,1376.8821,0,0,1
10500280,30,30,7,5,16,27,20,9,13,13,30,28,25,0,0,0,0,0,0,0,0,0,0,0,1,0,974.74646,172.27429,5900,4,0,2,-1,0,2,3,2,5,3,-1,2,-1,0,20423,19,279.44946,0,0,1
10500652,30,30,11,17,14,30,23,22,-5,22,6,5,16,0,1,2,0,0,0,0,0,0,0,0,0,0,550.54211,26.429287,600,2,2,7,5,2,4,5,6,7,1,5,3,2,1,19693,49,23.658981,0,0,0
10526122,30,30,4,22,-2,8,16,21,22,23,-5,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11.406428,0,1300,3,8,8,5,4,5,7,5,8,2,9,4,7,0,20058,47,80.795532,0,0,1
10529676,30,8,-20,-4,-7,-9,-1,-16,-18,-10,-14,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5893.0156,2382.2144,7500,26,21,25,20,23,25,22,23,26,21,27,24,25,0,19693,28,574.95502,0,0,1
10538846,30,20,30,-5,21,30,-9,-5,-8,-8,-6,30,20,0,0,0,0,0,0,0,0,0,0,0,0,0,422.80215,0,2800,7,8,12,8,8,9,9,6,12,9,7,8,9,0,19328,12,110.17084,0,0,1
10539167,30,30,2,30,-18,-19,30,5,6,30,-15,3,6,1,0,0,1,0,0,0,0,0,0,0,0,0,10711.13,0,17100,25,19,19,23,19,19,24,22,19,19,21,23,23,0,20789,15,1636.4,0,0,1
10541364,30,30,14,30,8,9,30,-13,-13,19,8,4,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,488.30215,0,1050,11,11,12,11,12,14,12,13,14,8,14,15,15,0,19693,19,242.39525,0,0,0
10548132,30,30,28,26,28,28,7,27,15,29,27,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1293.88,0,11300,-1,1,1,-1,1,-1,2,1,1,-1,1,4,-1,0,20789,18,1300.7328,0,0,1
10553123,30,30,30,30,30,30,30,2,1,-3,1,30,30,0,0,0,0,0,0,0,0,0,0,0,1,2,315.28928,0,1000,22,18,22,22,19,22,22,22,22,23,23,22,24,1,20789,22,64.807274,0,0,1
10554402,30,20,-7,16,1,14,8,-6,-6,16,1,11,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,127.96001,0,12300,7,9,9,6,8,5,9,6,11,6,10,8,9,0,20058,34,605.77527,0,0,1
10554981,30,30,23,30,27,14,11,30,-2,30,9,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5258.3501,0,6600,0,-1,3,-1,2,5,3,-1,2,2,3,4,3,0,19328,13,387.6846,0,0,1
10574835,30,30,5,6,15,7,1,-1,0,5,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2238.5415,0,18200,2,1,2,-1,-1,1,2,2,4,-2,1,0,-2,0,20423,12,2271.095,0,0,1
10577187,30,0,-10,-22,2,-9,-7,-6,3,-14,-13,2,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,9908.3125,0,10400,24,29,28,26,26,29,28,30,26,26,27,26,27,0,20058,65,936.91895,0,0,1
10614059,30,30,18,25,30,12,2,1,14,8,22,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3628.6208,0,24400,2,-1,5,1,-1,-2,0,-1,5,-2,2,3,1,1,19693,29,4415.7373,0,0,1
10625197,30,30,-15,5,30,-11,-11,-9,-15,30,-7,-12,30,1,0,0,0,1,0,0,0,0,1,0,0,1,917.91211,117.30858,1400,16,17,20,18,18,20,19,14,17,14,18,17,16,1,20423,11,405.28729,0,4,0
10631505,30,30,30,27,20,8,30,0,26,30,6,6,30,0,0,0,0,0,0,0,0,0,0,1,0,0,480.30643,38.513573,800,-1,-1,1,-2,1,2,0,1,2,1,1,4,2,1,20058,16,221.60312,0,6,0
10631611,30,30,-6,0,-1,-5,-7,-4,-10,-1,-11,-3,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,1884.6522,0,20500,23,22,23,21,25,26,23,25,27,21,28,25,25,0,20423,12,1866.8258,0,0,0
10641761,30,30,4,-2,16,-4,2,7,2,-8,7,5,-13,0,0,0,0,0,0,0,0,0,0,0,0,0,970.54211,0,1800,19,13,19,13,13,16,17,16,17,17,17,17,14,0,19693,43,236.51302,0,0,0
10643520,30,30,25,21,9,13,5,27,9,5,-2,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,905.47357,80.12072,1700,2,1,4,1,3,6,2,1,4,4,3,2,3,1,19328,35,88.835716,0,0,0
10648541,30,30,-3,30,-13,-5,13,12,3,7,-9,11,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,5509.3237,0,5400,14,12,16,15,13,15,17,13,18,15,14,19,17,0,20789,22,416.07321,0,3,0
10649937,30,-1,2,-20,30,-4,-25,-27,1,-3,-3,-16,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1190.4357,0,1600,27,30,28,26,29,26,30,29,28,26,29,28,27,0,19328,23,242.22609,0,2,0
10660840,30,30,0,3,17,12,-6,4,5,-7,0,7,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,2333.6384,222.63286,2700,17,15,15,15,12,12,17,13,15,15,13,19,14,1,20423,77,196.26909,0,0,1
10668581,30,30,-1,4,-2,-7,-12,-6,-12,-8,-8,-12,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,20729.615,0,20300,23,20,26,20,21,23,26,23,26,24,27,27,25,1,20058,12,474.67581,0,0,1
10668632,30,11,-1,1,10,6,-1,-1,-14,-14,-20,3,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,318.54001,0,12200,21,18,23,23,18,20,25,22,22,23,24,22,21,0,19328,27,654.52075,0,0,1
10672089,30,30,30,10,-2,-8,-1,-5,-9,-1,8,-9,-6,0,0,0,1,0,0,0,0,0,0,0,0,0,647.19141,41.162144,2300,20,18,17,14,18,20,15,18,20,17,21,20,18,0,19693,14,652.97571,0,0,1
10674014,30,30,16,23,24,17,19,21,11,30,-3,17,23,1,0,0,0,0,0,0,0,0,0,0,0,0,395.01642,0,5200,2,1,7,3,4,5,5,0,7,4,4,5,3,0,19328,11,396.45184,0,0,1
10684474,30,30,30,30,-20,-23,-17,-20,-20,-22,30,-24,-24,0,0,0,0,0,0,0,0,0,0,0,0,0,321.56714,0,5200,27,29,25,25,25,27,24,25,25,25,29,28,29,0,20789,10,367.491,0,0,1
10686733,30,30,-3,30,1,0,30,-9,-13,11,30,-16,30,0,1,0,1,2,0,1,0,0,1,1,0,1,2561.0857,.14714286,2600,17,13,18,13,16,13,13,15,19,15,14,16,14,0,20058,9,293.93222,0,0,1
10689353,30,21,19,10,11,13,16,12,9,16,7,30,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,583.61786,0,3800,9,8,11,10,7,9,9,7,13,7,14,14,10,0,20789,13,607.29773,0,0,0
10696212,30,30,-10,-15,-13,-22,-12,-7,-2,-10,-14,-17,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,3414.605,0,18200,26,21,23,22,24,27,24,27,24,25,25,28,25,0,20789,16,2707.3699,0,0,1
10702222,30,30,23,15,25,10,27,8,-1,6,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.00146,0,2800,4,-1,3,2,3,5,1,3,3,0,3,1,0,0,19693,17,803.30646,0,0,0
10706668,30,30,-5,6,17,-7,6,-10,-3,4,16,-5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,22.385,0,1100,13,10,10,11,11,13,12,11,13,8,11,14,8,0,20423,70,149.47429,0,0,0
10722715,30,30,-9,18,14,-3,8,-10,-14,14,6,-6,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,5120.0552,33.318569,5200,9,8,10,7,10,10,8,11,14,8,14,10,8,0,19328,17,188.67058,0,0,1
10729643,30,24,19,5,3,11,14,6,22,6,17,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1699.1344,8.4542856,2300,3,5,6,2,8,7,4,8,5,3,8,8,7,1,19693,26,183.67076,0,0,1
10734858,30,30,8,9,5,-2,-11,3,3,15,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1690.1179,0,5200,17,16,22,18,16,21,17,18,19,15,18,18,19,0,20789,16,1340.3962,0,5,0
10743310,30,30,24,23,25,28,19,30,25,27,26,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1438.6521,0,17200,1,2,2,-1,3,1,4,-1,3,-1,2,1,2,0,20789,12,1456.7842,0,0,1
10748155,30,30,12,30,30,30,13,19,13,-1,2,17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1680.1873,8.9885712,7700,6,4,7,4,4,6,3,7,8,2,4,6,2,0,19328,14,347.80856,0,0,1
10751649,30,30,18,4,23,12,19,17,30,30,20,30,6,0,0,0,0,0,0,0,0,0,1,2,3,4,1036.8372,41.599998,1000,6,2,4,4,5,4,3,3,4,4,5,6,2,1,20423,12,444.18417,0,0,1
10760112,30,30,11,30,17,-6,16,8,-6,-5,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,182.86427,0,1600,17,11,12,9,11,14,11,15,16,10,16,18,12,0,20789,26,210.36385,0,0,0
10767931,30,30,3,5,-9,-5,-24,2,2,-5,-5,-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2064.8457,0,5100,26,29,24,22,29,28,27,25,27,26,29,24,25,0,20423,26,809.13153,0,0,1
10771107,30,30,-5,17,21,17,8,10,9,6,0,14,16,0,0,0,0,0,0,0,0,0,0,0,0,0,846.84363,34.103573,1100,2,-1,5,2,-1,-2,2,1,1,2,1,0,2,1,19328,15,78.479332,0,0,1
10788233,30,30,-5,-18,-2,-16,-19,-5,-15,-15,-7,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1844.6357,437.62857,5300,26,23,25,21,23,22,26,23,26,24,23,26,25,0,19328,24,136.3,0,0,1
10791561,30,30,-8,19,14,-3,3,30,-7,2,14,14,30,0,0,0,0,0,0,1,0,0,1,1,1,1,2462.0378,363.05356,2500,7,8,9,2,4,8,6,5,9,6,5,4,4,1,20789,27,707.14221,1,12,0
10792372,30,2,-11,-14,-5,8,-14,-18,12,-13,1,0,-14,0,0,0,0,0,0,0,0,0,0,0,0,0,1461.63,14.00077,2800,16,19,16,15,20,17,18,19,18,19,18,19,17,1,19328,39,258.16104,0,0,1
10804320,30,30,1,0,-2,15,16,-4,2,18,18,4,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1856.26,170.94214,2300,9,6,12,8,9,9,10,5,12,5,10,8,8,1,19693,91,403.34515,0,1,0
10838792,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,1,2,0,0,0,0,0,1667.2979,0,1700,24,19,23,22,22,22,22,23,23,23,23,26,24,0,20423,1,0,0,3,0
10858497,30,30,-17,-1,-21,-20,-12,-19,-5,-6,0,-7,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,221.67929,0,1700,27,29,25,23,25,27,24,29,24,25,28,25,29,0,20423,33,234.79242,0,0,0
10871397,30,30,30,-2,23,30,26,22,30,1,30,-3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1927.4215,684.82288,18300,2,1,4,3,4,6,1,4,3,1,3,3,0,0,20789,11,1784.38,0,0,1
10871488,30,30,-14,30,13,-15,0,-7,7,-3,10,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4195.8022,71.428574,7800,14,15,15,13,16,16,16,13,15,13,14,19,16,0,20789,13,3640.2307,0,0,1
10872947,30,29,27,16,26,14,10,14,-4,9,10,18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1651.0599,406.72,5200,1,0,2,0,2,5,3,0,6,2,-1,4,2,1,20058,51,280.79077,0,0,1
10881527,30,30,9,-1,-6,30,12,10,30,-8,10,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1449.915,0,18200,13,11,10,7,11,13,8,11,14,11,13,11,7,0,20423,15,1509.5913,0,0,1
